********************************************************************************
product = WebSphere Application Server 16.0.0.4 (wlp-1.0.15.cl160420161113-0206)
wlp.install.dir = C:/Users/IBM_ADMIN/Documents/GitHub/chansyapp/target/liberty/wlp/
java.home = C:\Program Files\Java\jdk1.8.0_101\jre
java.version = 1.8.0_101
java.runtime = Java(TM) SE Runtime Environment (1.8.0_101-b13)
os = Windows 7 (6.1; amd64) (en_US)
process = 9360@ISD-PC0BRTVW
********************************************************************************
[3/21/17 22:32:30:054 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[3/21/17 22:32:30:090 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0100I: This product is licensed for development, and limited production use. The full license terms can be viewed here: https://public.dhe.ibm.com/ibmdl/export/pub/software/websphere/wasdev/license/base_ilan/ilan/16.0.0.4/lafiles/en.html
[3/21/17 22:32:32:943 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 3.382 seconds
[3/21/17 22:32:33:127 CST] 0000002f com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[3/21/17 22:32:35:398 CST] 00000028 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications. 
[3/21/17 22:32:36:313 CST] 00000035 com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: TCP Channel defaultHttpEndpoint has been started and is now listening for requests on host *  (IPv6) port 9080.
[3/21/17 22:32:37:544 CST] 00000031 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application ChansyApp.
[3/21/17 22:32:45:346 CST] 00000031 com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[3/21/17 22:32:45:400 CST] 00000031 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: ChansyApp-1.0-SNAPSHOT.
[3/21/17 22:32:45:403 CST] 00000031 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module ChansyApp-1.0-SNAPSHOT has been bound to default_host.
[3/21/17 22:32:45:405 CST] 00000031 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://isd-pc0brtvw.ad.qintra.com:9080/ChansyApp/
[3/21/17 22:32:45:415 CST] 00000031 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0001I: Application ChansyApp started in 7.872 seconds.
[3/21/17 22:32:45:653 CST] 0000002f com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0012I: The server installed the following features: [servlet-3.1].
[3/21/17 22:32:45:654 CST] 0000002f com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0008I: Feature update completed in 12.704 seconds.
[3/21/17 22:32:45:654 CST] 0000002f com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0011I: The server defaultServer is ready to run a smarter planet.
[3/21/17 22:32:48:331 CST] 00000031 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at C:\Users\IBM_ADMIN\Documents\GitHub\chansyapp\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
